word,count,avg value,avg review,tot val,tot review
tube,290,169.5215172,4.982758621,49161.24,1445
artist,497,143.4809658,4.975855131,71310.04,2473
approval,270,139.6444444,4.966666667,37704,1341
guaranteed,546,131.153022,4.957875458,71609.55,2707
satisfaction,617,116.9173582,4.972447326,72138.01,3068
total,320,115.2874063,4.928125,36891.97,1577
usually,507,114.3439842,4.986193294,57972.4,2528
edge,314,110.8032166,4.987261147,34792.21,1566
grade,392,110.0608929,4.948979592,43143.87,1940
pet,1121,108.225174,4.966101695,121320.42,5567
stones,379,106.5278892,4.944591029,40374.07,1874
requests,384,103.2425781,4.966145833,39645.15,1907
yellow,502,103.1166135,4.854581673,51764.54,2437
people,456,96.06348684,4.910087719,43804.95,2239
completed,329,95.61100304,4.957446809,31456.02,1631
directly,459,94.81446623,4.949891068,43519.84,2272
done,361,94.38199446,4.975069252,34071.9,1796
weeks,548,93.88770073,4.914233577,51450.46,2693
word,254,92.3780315,4.996062992,23464.02,1269
takes,512,91.90238281,4.892578125,47054.02,2505
cat,304,90.09388158,4.960526316,27388.54,1508
turn,472,89.40332627,4.934322034,42198.37,2329
areas,418,89.39452153,4.933014354,37366.91,2062
purple,439,88.32296128,4.936218679,38773.78,2167
blank,380,88.18260526,4.986842105,33509.39,1895
world,517,87.93909091,4.965183752,45464.51,2567
provide,389,87.79550129,4.778920308,34152.45,1859
canvas,742,87.11812668,4.990566038,64641.65,3703
feedback,451,86.69676275,4.713968958,39100.24,2126
wool,290,86.47734483,4.913793103,25078.43,1425
longest,261,86.4443295,4.957854406,22561.97,1294
book,964,86.29162863,4.989626556,83185.13,4810
charts,781,84.04509603,4.948783611,65639.22,3865
detail,479,82.69348643,4.891440501,39610.18,2343
main,357,82.28927171,4.983193277,29377.27,1779
completely,693,82.02665224,4.958152958,56844.47,3436
solid,437,81.94970252,4.970251716,35812.02,2172
green,1162,80.14273666,4.919965577,93125.86,5717
copy,504,79.23732143,4.968253968,39935.61,2504
amazing,343,78.04189504,4.973760933,26768.37,1706
enough,382,77.00719895,4.984293194,29416.75,1904
chart,538,76.93418216,4.979553903,41390.59,2679
